code_zone_(m49),zone,code_élément,élément,code_produit,produit,code_année,année,unité,valeur
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2001,2001,kcal personne jour,1716.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2002,2002,kcal personne jour,1794.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2003,2003,kcal personne jour,1847.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2004,2004,kcal personne jour,1897.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2005,2005,kcal personne jour,1948.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2006,2006,kcal personne jour,1998.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2007,2007,kcal personne jour,2049.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2008,2008,kcal personne jour,2099.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2009,2009,kcal personne jour,2150.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2010,2010,kcal personne jour,2200.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2011,2011,kcal personne jour,2172.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2012,2012,kcal personne jour,2166.0
